
 Params: N = 250 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 43.35530471801758 | Max Price: 721.3460693359375
 Params: N = 280 | d = 1 | type of data: harmonic| Becker Hist Avg price = 26.75225257873535 | Max Price: 798.0211791992188
 Params: N = 280 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 567.1079711914062 | Max Price: 797.9548950195312
 Params: N = 310 | d = 1 | type of data: harmonic| Becker Hist Avg price = 44.44518280029297 | Max Price: 874.3098754882812
 Params: N = 310 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 619.3973999023438 | Max Price: 874.3038330078125
 Params: N = 340 | d = 1 | type of data: harmonic| Becker Hist Avg price = 72.1522445678711 | Max Price: 949.6607055664062
 Params: N = 340 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 290.36627197265625 | Max Price: 949.8536376953125
 Params: N = 370 | d = 1 | type of data: harmonic| Becker Hist Avg price = 340.0753173828125 | Max Price: 1025.211181640625
 Params: N = 370 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 795.5848388671875 | Max Price: 1025.9044189453125
 Params: N = 400 | d = 1 | type of data: harmonic| Becker Hist Avg price = 22.628490447998047 | Max Price: 1100.74267578125
 Params: N = 400 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 847.0609130859375 | Max Price: 1100.767578125
 Params: N = 430 | d = 1 | type of data: harmonic| Becker Hist Avg price = 60.4907112121582 | Max Price: 1174.776611328125
 Params: N = 430 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 739.1439208984375 | Max Price: 1175.590087890625
 Params: N = 460 | d = 1 | type of data: harmonic| Becker Hist Avg price = 61.18015670776367 | Max Price: 1249.1669921875
 Params: N = 460 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 827.44140625 | Max Price: 1250.044189453125
 Params: N = 490 | d = 1 | type of data: harmonic| Becker Hist Avg price = 59.690895080566406 | Max Price: 1324.3916015625
 Params: N = 490 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 379.2055969238281 | Max Price: 1324.0787353515625
 Params: N = 10 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 29.448455810546875 | Max Price: 51.712646484375
 Params: N = 40 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 58.79153060913086 | Max Price: 154.38682556152344
 Params: N = 70 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 106.98741912841797 | Max Price: 242.26165771484375
 Params: N = 30 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 55.578094482421875 | Max Price: 122.64855194091797
